index,Gene,MSE,r2,pearson_correlation
0,TSPAN6,0.012288929388492447,-0.16143943731847865,-0.03471554883304037
1,TNMD,0.0066559168183888155,-0.12228376542875652,0.06768498527422201
2,DPM1,0.03735803870592456,0.014300009355616261,0.20720663014236534
3,SCYL3,0.012069974794272846,-0.10449379064581787,0.07357463818283312
5,FGR,0.017373403776217298,-0.16694553007019852,-0.014886891205020346
6,CFH,0.016500019710610585,-0.007024562567235382,0.1468905239820124
7,FUCA2,0.009313312528983014,-0.06667536477344171,0.013984091203061362
8,GCLC,0.03202832964490925,0.23982878263455454,0.489749948507392
9,NFYA,0.030955217785473926,-0.108799874280469,0.005541850612664771
10,STPG1,0.01101087757521738,-0.27544235387509497,-0.06103256564596872
11,NIPAL3,0.010127299974786353,-0.1297950965536232,0.09905034257247036
12,LAS1L,0.07890983538173887,-0.10863239660388047,0.01882805781591026
13,ENPP4,0.009611103536233272,-0.1362345497138937,0.0293130036589998
14,SEMA3F,0.02563004640372967,-0.07763143309845999,0.023375009742636503
15,CFTR,0.010418351930758737,-0.16875497397774697,0.007226315964776696
16,ANKIB1,0.010502643877336088,-0.15558015772836042,0.12079025471678564
17,CYP51A1,0.017168042117883933,-0.13575985885981212,-0.02900231777187863
18,KRIT1,0.0228495208865385,-0.08144538282106528,0.13548397489557926
19,RAD52,0.01356776254271504,-0.24325409358561823,0.03401045010172279
20,BAD,0.026822386546686193,-0.18314353939128414,-0.0712700530970315
21,LAP3,0.028261223834679054,-0.17960667926391505,0.02275078818936222
23,HS3ST1,0.01193357337854058,-0.08635900174594102,0.05195846772974175
24,AOC1,0.009916919713452661,-0.05637167674230348,0.12254790084391964
25,WNT16,0.014450498895361683,-0.09358950568619129,0.07951611403315059
26,HECW1,0.012487793092822051,-0.1960460243880402,-0.0810130112897523
27,MAD1L1,0.027663447590054707,-0.03882605022564101,0.15222654873547553
28,LASP1,0.01601531907819378,-0.03988856202115665,0.16395023776489415
29,SNX11,0.018669740223848316,-0.2685960585622704,-0.11304685087676952
30,TMEM176A,0.009428278780881837,-0.23866819121962712,-0.0036222144713915732
31,M6PR,0.011525085356930859,-0.07580415767396764,0.16834449661730505
32,KLHL13,0.01845490010313798,-0.14580942385036177,0.03257237442283686
33,CYP26B1,0.013445696189684529,-0.10932001940146185,0.06828530000311149
34,ICA1,0.009794217495781507,-0.1523756408163146,-0.03435743440530635
35,DBNDD1,0.017334488144926715,-0.158325764145685,-0.02791305206670899
36,ALS2,0.005715936685373017,-0.22155975202047018,-0.056013358932271225
37,CASP10,0.011746135078790982,-0.19867409119337198,-0.01765279148591907
38,CFLAR,0.2983634272728034,0.04563441096172982,0.27596935365620456
39,TFPI,0.01134592424757069,-0.10883207322564359,0.0722687289310614
40,NDUFAF7,0.05471861593175559,-0.031176091368353642,0.1412419887188269
41,RBM5,0.04337551140788127,-0.010980627252956454,0.17112583037078133
42,MTMR7,0.013052687599147916,-0.23349063287891259,-0.017006902312184043
43,SLC7A2,0.008089624391016853,-0.15390388275027123,0.027835651911810397
44,ARF5,0.008999053539334948,-0.11268699953894123,0.06393445170319623
47,PLXND1,0.013008840192344436,-0.07163997501430042,0.08335794510977283
48,AK2,0.03497443917834223,0.19780402490198878,0.4483118254392498
49,CD38,0.006185530666048945,-0.13505202752030288,0.02390061479520502
50,FKBP4,0.02809281473015711,-0.1149751520833231,-0.012443301522561975
51,KDM1A,0.02524990563950431,-0.01967862079065341,0.22235907438291944
52,RBM6,0.017065524858525246,-0.143877293441399,-0.05953748609376659
53,CAMKK1,0.010116900963270954,-0.1921202936533719,-0.03206785148337312
54,RECQL,0.009853938984330866,-0.1573498705846912,0.019314803354704813
55,VPS50,0.017948325129081146,-0.008921981389804268,0.20801632125442504
56,HSPB6,0.015198879553347219,-0.2421590770018882,-0.06203449793876188
57,ARHGAP33,0.01351646764862336,-0.12274953641547515,0.09957822822330151
58,NDUFAB1,0.09291691665784338,-0.03398660771473616,0.09751130217422198
59,PDK4,0.008979771502778925,-0.1209158475329486,0.11920180794120007
60,SLC22A16,0.009960636953728808,-0.1977174670042101,-0.031764100471083766
61,ZMYND10,0.01167187024664073,-0.09235655160873413,0.11058486555041862
62,ABCB5,0.011330486088890339,-0.12630334835214518,0.04402502402218845
63,ARX,0.010915725802964588,-0.1848852597471693,0.04486980897350152
64,SLC25A13,0.02180748119682215,-0.07742321486505332,0.049302090024945816
65,ST7,0.018431653344425553,-0.22506755350416352,-0.08831974216492433
66,CDC27,0.06080653997444605,-0.009094030755090854,0.15245592606966502
67,SLC4A1,0.018325425550666657,-0.0014576465545523831,0.1915923476816463
68,CALCR,0.013399822587692843,-0.19375056861590756,0.030161792238671124
69,HCCS,0.05418638685938517,-0.060354001074937935,0.142008143938525
70,DVL2,0.008972889923814113,-0.2173997850867806,-0.05458297663909583
71,PRSS22,0.011385444968733439,-0.1823576344122424,0.02295699472114048
72,UPF1,0.07633831870895481,0.06983594566974294,0.2905530173751402
73,SKAP2,0.017270907820473275,-0.06404264431354467,0.09421037992059797
74,SLC25A5,0.024933406936183695,0.02849248043585706,0.1943947459682638
75,MCUB,0.012896383953403827,-0.20259485940275157,-0.09763058916450033
76,HOXA11,0.028349369177659654,-0.17889770534934057,-0.04585236469486341
78,DHX33,0.116983846161814,-0.06731245564612776,0.022650151145267132
79,MEOX1,0.008924649707623519,-0.1232279908941496,0.06663355919945624
80,THSD7A,0.010045860489442329,-0.18539103895912223,-0.0486693834065037
81,LIG3,0.021223878858803998,-0.13570928066796895,0.057345700097252435
82,RPAP3,0.043605242440625344,-0.11144565175512988,0.034797454455628284
83,ACSM3,0.011243160432944276,-0.19354714670365225,-0.015221849110675012
84,REXO5,0.014018492023926025,-0.17066670814122986,0.019580726798283342
85,CIAPIN1,0.05065923375102213,-0.057982344131277896,0.11570455518658809
87,ATOSB,0.01722970598565226,-0.08521825834793706,0.04867965422076598
89,PRKAR2B,0.015175835191047812,-0.2788082328498349,-0.15640010591601716
90,MSL3,0.02873629734688705,-0.06264975071834833,0.1723576405211626
91,CREBBP,0.11671795657384822,0.023514291506986362,0.18015207101220004
92,TSPOAP1,0.013922358750059337,-0.20909949503478198,-0.026513485185483906
93,MPO,0.008741161611111135,-0.19150356392497492,0.009221606026769956
94,PON1,0.014105980543317164,-0.16260198910342694,0.03956545734435623
95,GCFC2,0.018274627246783026,-0.11672972103102164,0.044899825205175756
96,WDR54,0.03322315971600596,-0.12113018101051032,-0.009105426305019588
97,CROT,0.011249562878248935,-0.19631596347142932,0.0319036552449735
98,ABCB4,0.012442822373570273,-0.16141937359121217,0.01925726171180915
99,KMT2E,0.024847579836449394,-0.06701243661333223,0.08140419261425619
100,RHBDD2,0.020207877392074098,-0.11892484214540122,0.04877517333169353
101,SOX8,0.01685202211337198,-0.14448968938698759,0.004113543601030183
102,IBTK,0.010575333533584549,-0.08921350711452125,0.09047168063768082
103,ZNF195,0.008553163531184887,-0.10436878526915372,0.09127859971936371
105,FBXL3,0.012324985107392624,-0.07529468010725182,0.08791545374795873
106,ITGAL,0.009693592337349047,-0.20333707106362353,-0.07407463509801786
107,PDK2,0.021855884090897847,0.04489763969829552,0.26816395829254414
108,ITGA3,0.03794654795875056,0.15467231664203174,0.43898841567495756
109,ZFX,0.058470988283125,-0.00986915780167319,0.18278845737116237
110,LAMP2,0.006973103098897001,-0.2646741702688582,-0.06302133217188392
111,ITGA2B,0.009977056362873375,-0.1313279890561594,0.0852591806969141
112,ASB4,0.015342957486538375,-0.1122617131427841,0.021508075899650047
113,GDE1,0.01889967409325725,-0.18136674321337853,-0.015854287683866045
114,REX1BD,0.025861303349583524,-0.05505745928473771,0.0956785300551302
115,CRLF1,0.014082799231721206,-0.12148904118962078,-0.010539807195731738
116,OSBPL7,0.012376008120404855,-0.2856527310025234,-0.049777895795137445
117,TMEM98,0.016380101606999063,-0.13252967134782145,0.054460769040234794
118,YBX2,0.016297046143047583,-0.15929785901140203,0.0398076236693815
119,KRT33A,0.04262720294588052,-0.047824313534742036,0.04866648441813835
121,ABCC8,0.007620153431123342,-0.14113688033164973,0.06174511292968187
122,CACNG3,0.01380963582846941,-0.07025091767673075,0.15440511229131204
123,TMEM132A,0.019767646758447596,-0.10414278335010163,0.016719802905256976
124,AP2B1,0.022437173052207517,-0.12283562840359386,0.004380769112576856
125,TAC1,0.013173177843150696,-0.04640194137171516,0.07690352991215732
126,ZNF263,0.012105947785842756,-0.14106427550695,-0.02900977303939871
127,CX3CL1,0.008025613164822138,-0.16987300911592418,0.04990974096659637
128,SPATA20,0.014200950714594172,-0.09809444887629559,0.06242155850248008
129,CACNA1G,0.019760513792151272,-0.18501049620328147,-0.038213294287908164
130,TNFRSF12A,0.01687554263623149,-0.032508147669403575,0.1797825657902269
131,DLX6,0.011970242670980805,-0.1842618805798275,0.03911618384083431
132,MAP3K9,0.0069229060334684515,-0.09092219410845281,0.15015407419573057
133,RALA,0.018273529105203405,-0.08374049635927139,0.06522230353802493
134,BAIAP2L1,0.016741876104898485,-0.14191325728648074,0.06093498070243873
135,KDM7A,0.012311666727848579,-0.090093470252397,0.09016427553771116
136,ETV1,0.016696827536766035,-0.06395543932159664,0.090156697210091
137,AGK,0.010322770759589355,-0.12192797449756654,0.0604529386554996
139,TTC22,0.018200869993345876,-0.16573057978181915,-0.03490855483052188
140,PHTF2,0.01989525919992547,-0.18547248255308135,-0.04062570890365455
141,CCL26,0.020233849559875113,-0.113690840868935,0.0420532149283026
142,FARP2,0.010717580695322205,-0.06719740410112962,0.11186621755852964
143,USH1C,0.005545783639536987,-0.10414209470755664,0.04171074461085048
144,GGCT,0.016404415996114693,-0.19379106517507094,0.012608163868604933
145,DBF4,0.11475801791221418,0.017084770760032786,0.21541965701529456
146,TBXA2R,0.011048675760963625,-0.017414235156301805,0.16143622016908876
147,IFRD1,0.009474593139680314,-0.13131907793458208,0.10713419325197239
148,LGALS14,0.022131422128795798,-0.03326474189599948,0.12618073018423784
149,COX10,0.06943069762534418,-0.060807164890263055,0.16079635190416877
150,GTF2IRD1,0.01589931688138883,-0.06152656402822432,0.12655040239256246
151,PAF1,0.04059704120444047,-0.07550138239643966,0.05563099266086773
152,VPS41,0.07549413039384358,0.004564290395412729,0.196804953335847
153,ARHGAP44,0.010563830960582056,-0.22872863835751733,-0.054188670304096194
154,ELAC2,0.09489614192660659,-0.07228031188264539,-0.0158575473416439
155,SCIN,0.011117443554930212,-0.1079214908986379,0.07314406647455142
156,ARSD,0.014929391421727273,-0.014009763298572064,0.15413775022074222
157,PNPLA4,0.008626759182231235,-0.08170984827144823,0.10698509930184431
158,MYH13,0.015041344131895363,-0.11419597466353926,0.010621321603505604
159,ADIPOR2,0.01554448677024668,0.034925996064238074,0.2948348217930201
160,CDKL3,0.013997808566450113,-0.1500862734204782,0.062122668869767556
161,UPP2,0.006674438474292277,-0.11295345289978642,0.10695649142257962
162,PRSS21,0.010018656122238642,-0.11719619989649877,0.10757173623530204
163,MARK4,0.009804687384200782,-0.14448323921013562,0.030913163104935967
164,PROM1,0.006381723852672479,-0.18529568245834782,0.07692801360990915
165,CCDC124,0.023258906201292187,-0.13117410738770574,-0.02633836747537191
166,CEACAM21,0.011870815887933716,-0.20010358775806925,-0.02833393676255381
167,PAFAH1B1,0.11307220732194825,-0.07503737975067937,0.017628249379410474
168,NOS2,0.016170070453947506,-0.20566364107582413,-0.007380826747811456
169,DNAH9,0.006712844479198594,-0.1256517189448818,0.09341580855519065
170,BLTP2,0.03577724362310509,-0.06905823304002512,0.09158665428118667
171,SLC13A2,0.013168831880669172,-0.1298917481369577,0.0828241737786146
172,GAS7,0.012874573310245154,-0.09054153472741944,0.09341759967609514
173,TRAPPC6A,0.0142325011648665,-0.1869337664710644,-0.010335707310394394
174,MATK,0.02733852348119462,-0.12799757339329765,0.02456579299395128
175,CEACAM7,0.02116003223261361,-0.0044875265531092445,0.13940868286001626
176,CD79B,0.024117462760043732,-0.16330980663503158,0.004040376345999779
177,SCN4A,0.010488807970189059,-0.13908924947180856,-0.004441323455846333
178,ST7L,0.01137738663955594,-0.19470646035547912,0.01940231252612243
179,TKTL1,0.008009925552650718,-0.13512358974985328,0.0334065708014514
180,PAX6,0.013977601251595783,-0.11597679616975243,0.05766887008318875
181,RPUSD1,0.010926490632146886,-0.03851453469715538,0.14117236680836104
182,RHBDF1,0.03573116717573111,-0.07145969448386924,0.08120883085888246
183,LUC7L,0.014301201362587255,-0.1080402206257367,0.028014474520020743
184,CACNA2D2,0.010593992786463677,-0.23484756727541267,-0.0163296584055811
185,BAIAP3,0.01360943082389005,-0.10535367788676497,0.03953122342826993
186,TSR3,0.02901245648190625,-0.04402222847294435,0.16381537892347056
187,PIGQ,0.016429112716165983,-0.15779072786497572,0.04582390114225979
188,CRAMP1,0.06418346003604335,-0.038672112668601155,0.08779260463515452
189,TEAD3,0.022218469238233965,0.029758030968761506,0.2650437864871752
190,SELE,0.008755938744679677,-0.10434320209424008,0.03769241541546984
191,DNAJC11,0.1348921487908803,-0.034466435205829926,0.2070756081738719
192,FMO3,0.006841949656919017,-0.06997194931851958,0.04788396125213675
193,MYLIP,0.03158982438205138,-0.021296861219129104,0.1421159908675919
194,NOX1,0.021585781075861767,-0.206613998891084,-0.039763751699143944
195,E2F2,0.013626837365550972,-0.1536995833755379,-0.006063534381948859
196,PSMB1,0.06771681500212706,-0.07210982950523515,0.08208981394563353
197,SYN1,0.01067320737270352,-0.10002544632848998,0.10876873868860021
198,JARID2,0.015044499757151003,-0.12100805749663679,0.033454997696136024
199,CDKL5,0.00959025121596893,-0.19492619094824515,-0.03213044230884035
200,CAMK1G,0.01313042562700287,-0.059736392824071505,0.15904033447569163
202,NADK,0.0182632216257331,-0.1105435803823065,0.033956949279808905
203,TFAP2B,0.023379246841446644,-0.04113102989969253,0.0797376976552054
204,TFAP2D,0.010601014252715969,-0.12715469652389433,0.08990325090965727
205,DLEC1,0.012637691548728631,-0.1493315438439906,0.012565232024488284
206,CYTH3,0.019331778803977767,-0.1335911959145053,0.031796171755574566
207,ADAM22,0.01324107977631198,-0.13340038545456778,0.009446989663977848
208,SYPL1,0.00927759820879846,-0.15459881932256292,0.019665832813309185
209,CYB561,0.021236841369592887,-0.17022362159265914,0.003849898120457385
210,SPAG9,0.017481941738552,-0.12357134245955126,0.1430445033337373
211,CELSR3,0.018193460993821135,-0.08893315312396921,0.08350754017516156
212,AASS,0.009902096178149552,-0.0907878103410722,0.1380156497437304
213,PLEKHG6,0.03742725247617707,-0.043885132707861096,0.10918021559395881
214,SS18L2,0.31163953903250724,0.025084087914686082,0.1983092640907216
215,MPND,0.020087987372032063,-0.1310810036922454,0.04881053225826444
216,MGST1,0.016313318270408633,-0.13261629645040074,0.025333741182953208
217,CRY1,0.01444120445708961,-0.056909363032008775,0.12234776713342269
218,PGLYRP1,0.014855962558520959,-0.10587075252866973,0.040354529051649865
219,NFIX,0.01086744021220627,-0.15746812114531084,0.14489119406249312
220,ST3GAL1,0.021892413690004973,-0.09249646272706591,0.10178447057631564
221,MMP25,0.01776593680122503,-0.19804405773778,-0.07839979943393585
222,IL32,0.01008282134086326,-0.12294245475805998,0.08081710344792249
223,PKD1,0.004509528763303544,-0.6768701531931343,0.058847910371677505
225,MED24,0.10468621929134878,0.13633231410836555,0.41432313576042556
226,RHOBTB2,0.01178649806638338,-0.06350624708191699,0.1538649558850834
227,HEATR5B,0.020307789974587563,-0.027519091860731537,0.17196422240262957
228,SEC62,0.0475823347343576,-0.1212317547962718,0.048789059872463056
